# YTID,start_seconds,end_seconds,event_label
4EiskLYtkO4,0.0,10.0,['Cough']
4MZrJBy7i-I,10.0,20.0,['Meow']
4WLF2CT0eCM,40.0,50.0,['Cough']
4Y3OlH87NUE,20.0,30.0,['Fireworks']
4_cwAbkJLeY,430.0,440.0,['Doorbell']
4c1omzV5pP8,90.0,100.0,['Doorbell']
4rUBzzs1lxU,20.0,30.0,['Burping_and_eructation']
4zC-SYrj9us,200.0,210.0,['Camera']
52aW_tMLxiM,150.0,160.0,['Camera']
58jMS3K5iMo,130.0,140.0,['Cough']
58yb7qX_pv8,30.0,40.0,['Meow']
59Mt7J_0KT4,0.0,10.0,['Scratching_(performance technique)']
5B7j5DIqBJA,30.0,40.0,['Meow']
5H-RadrUSA4,20.0,30.0,['Shatter']
5KWTAq3GkfA,6.0,16.0,['Meow']
5NX8h6debUc,5.0,15.0,['Cheering']
5PbIH_kMyis,70.0,80.0,['Bark']
5QH1nhYHfXU,90.0,100.0,['Fireworks']
5exxJqJLrts,20.0,30.0,['Cheering']
5lN_vNS5z8Y,250.0,260.0,['Church_bell']
5mut_FrB4As,30.0,40.0,['Fireworks']
5otuWD5-Zhc,470.0,480.0,['Church_bell']
5tOj-p8ANmM,0.0,10.0,['Bark']
5upBlkwvHmg,0.0,10.0,['Cheering']
60JKaGidSoI,130.0,140.0,['Burping_and_eructation']
64K4SlYR3BU,70.0,80.0,['Bark']
65KYS3lIRII,380.0,390.0,['Scratching_(performance technique)']
6KknUgdsPxw,160.0,170.0,['Fireworks']
6L8066DGqcA,210.0,220.0,['Scratching_(performance technique)']
6R8mmrJvXgc,220.0,230.0,['Shatter']
6RmVECh3_YQ,120.0,130.0,['Scratching_(performance technique)']
6WJitOS-RHw,110.0,120.0,['Doorbell']
6XiVOflQITo,0.0,10.0,['Shatter']
6Y9cje91K4A,100.0,110.0,['Shatter']
6YXjJ6ABnZU,20.0,30.0,['Scratching_(performance technique)']
6c-5b9sj35o,30.0,40.0,['Meow']
6ewVr6SG7iY,40.0,50.0,['Shout']
6f9hp7CJn64,40.0,50.0,['Cheering']
6g2kz0QNYts,70.0,80.0,['Fireworks']
6iyinlZEgS4,40.0,50.0,['Doorbell']
6l8elU3VEBE,330.0,340.0,['Bark']
6qlfodh49BA,0.0,3.0,['Doorbell']
6u14wxqIlZ4,30.0,40.0,['Meow']
6wg3GJZk7Q0,30.0,40.0,['Meow']
7F01MogWvhQ,30.0,40.0,['Meow']
7G76uQj5eas,140.0,150.0,['Shatter']
7J7_OGwI2O4,0.0,10.0,['Cheering']
7LlnLjZOqVI,30.0,40.0,['Scratching_(performance technique)']
7N2q1XkFuqY,21.0,31.0,['Meow']
7P-1BJ1A9ME,2.0,12.0,['Doorbell']
7SZFvCNKCNg,540.0,550.0,['Shatter']
7WoFyN1R-1g,12.0,22.0,['Meow']
7feRrqB4AvM,60.0,70.0,['Fireworks']
7mGVgQhMQCE,30.0,40.0,['Cheering']
7mp2S19k7as,40.0,50.0,['Cheering']
80samHs909Y,10.0,20.0,['Shout']
82EHZ4_pTps,30.0,40.0,['Meow']
8430QfEUpWo,260.0,270.0,['Cheering']
8MX03zX_ubE,30.0,40.0,['Meow']
8N5XxcJ7QOU,20.0,30.0,['Cough']
8OTi4M2Gr8Y,100.0,110.0,['Camera']
8X4_2bcXKvM,310.0,320.0,['Fireworks']
8XGXHDMIJw4,150.0,160.0,['Scratching_(performance technique)']
8cDXwosw9nA,30.0,40.0,['Bark']
8l8ghk2CDbE,190.0,200.0,['Cough']
8oBxzje16HU,30.0,40.0,['Burping_and_eructation']
8z2yFtX66C4,30.0,40.0,['Shout']
8zn9L4SRjCs,0.0,10.0,['Shout']
9Bln0rDEx_o,30.0,40.0,['Doorbell']
9IFnYvr7xBM,0.0,10.0,['Fireworks']
9VJL-ktypNw,0.0,6.0,['Doorbell']
9VTl3KBJPXU,10.0,20.0,['Shout']
9YnYlDFKn-U,30.0,40.0,['Scratching_(performance technique)']
9aoLlAc64hQ,60.0,70.0,['Shout']
9ng2jhBIWgk,210.0,220.0,['Camera']
9rVmT_jQlkM,80.0,90.0,['Fireworks']
9rwfy8B5EB8,280.0,290.0,['Bark']
A5fPSkTvjmY,70.0,80.0,['Scratching_(performance technique)']
ACm8QhYSQcQ,250.0,260.0,['Cheering']
AH00J1t0A2o,310.0,320.0,['Shout']
AOL8Om5Cs8E,6.0,16.0,['Camera']
AON37kCpOBw,40.0,50.0,['Burping_and_eructation']
ASzOY50Dg38,0.0,10.0,['Shatter']
AVIplOV78Rw,50.0,60.0,['Fireworks']
Aa8lvl6b-iM,120.0,130.0,['Shout']
Add11iatg0Y,50.0,60.0,['Doorbell']
AkMDZYZraRo,310.0,320.0,['Fireworks']
At88LS5okRI,120.0,130.0,['Burping_and_eructation']
AzGtPHlrlzU,70.0,80.0,['Scratching_(performance technique)']
B-3Rsam9FxM,310.0,320.0,['Fireworks']
BGkXV9_wf9g,30.0,40.0,['Meow']
BJ8up8BXMjg,570.0,580.0,['Doorbell']
B_hJGfaCXq8,30.0,40.0,['Fireworks']
Bc6AIHASWxI,30.0,40.0,['Cheering']
Bgcvw5VEabw,130.0,140.0,['Camera']
BtwvdgECX10,0.0,10.0,['Cheering']
BurGML_ZqSA,100.0,110.0,['Doorbell']
BxfBMFT1CHA,300.0,310.0,['Camera']
ByZD9ujkkB4,50.0,60.0,['Doorbell']
Bz-TAUdigNg,0.0,4.0,['Camera']
C5N5XQ7l_e8,20.0,30.0,['Camera']
C5Zs-Lb2rIM,90.0,100.0,['Scratching_(performance technique)']
C6FBuP5P9Mo,40.0,50.0,['Camera']
C91U_qUVqmk,0.0,10.0,['Shout']
CCHRD-G9sfA,90.0,100.0,['Fireworks']
CLgzTSgUu5U,70.0,80.0,['Church_bell']
CSaXbTIs8gk,60.0,70.0,['Shatter']
CTBFPn_S5u0,30.0,40.0,['Bark']
CU_l9xDeKsg,40.0,50.0,['Camera']
Cd7JefC6-Zw,230.0,240.0,['Scratching_(performance technique)']
CiH1YkbIq-o,140.0,150.0,['Burping_and_eructation']
CkYgI1cyaTg,480.0,490.0,['Camera']
CnnszUoFGcQ,0.0,10.0,['Shatter']
CqWsb_bPiqI,280.0,290.0,['Camera']
DFLDW-560HQ,30.0,40.0,['Church_bell']
DOtBB70Jgu4,60.0,70.0,"['Doorbell', 'Bark']"
DPzoYrz6Mi8,150.0,160.0,['Camera']
DQzg3cZeYSw,30.0,40.0,['Scratching_(performance technique)']
DR6axnjaBkQ,80.0,90.0,['Fireworks']
DU4im26D6ts,10.0,20.0,['Burping_and_eructation']
DXUmi-gSRww,10.0,20.0,['Cough']
DkCIFy4OWno,10.0,20.0,['Cough']
DndWzbgvKws,20.0,30.0,['Fireworks']
E-f_YcMcIK0,10.0,20.0,['Fireworks']
E0XpxQAoXeU,170.0,180.0,['Fireworks']
E7cjHvnJLIk,40.0,50.0,['Cheering']
EBwiCVS_gBs,40.0,50.0,['Cough']
EGc41s7IIZ0,400.0,410.0,['Doorbell']
EHbGdsiQ-nE,14.0,24.0,['Cheering']
EKGL6qVpZg8,150.0,160.0,['Scratching_(performance technique)']
ETAONbN_HT0,160.0,170.0,['Camera']
EX0ZF-jNWIg,190.0,200.0,['Cough']
E_IG2ubeTME,30.0,40.0,['Scratching_(performance technique)']
EakI8v4Ztt4,30.0,40.0,['Bark']
Eo_jCycp6Qo,370.0,380.0,['Camera']
Es0DobdL8Kc,270.0,280.0,['Doorbell']
EsiR1ZbHetU,10.0,20.0,['Shout']
EwAUvy_WqaI,280.0,290.0,['Shout']
F3lXZDUz4kA,110.0,120.0,['Cheering']
F47KWnLj7tQ,20.0,30.0,['Shatter']
F7sg58qV70s,0.0,10.0,['Doorbell']
FAX8Twagbvg,90.0,100.0,['Burping_and_eructation']
FTYgwHJUkaY,10.0,20.0,['Bark']
FTePTiRR_tA,60.0,70.0,['Cough']
FTkPTaI8eOo,440.0,450.0,['Shatter']
FUaEvKxWtNQ,11.0,21.0,['Church_bell']
FakZ7DH33dQ,80.0,90.0,['Fireworks']
Fbxs3CnA5OY,70.0,80.0,['Shatter']
FeRaDiSPb2c,17.0,27.0,['Bark']
FgIULzbbDNw,420.0,430.0,['Shatter']
FmytwY7SAfU,60.0,70.0,['Scratching_(performance technique)']
Fn82yAnl7C0,50.0,60.0,['Shout']
Fr8ZMXkLM5Y,60.0,70.0,['Church_bell']
Fu8Ze7MgXb4,40.0,50.0,['Cough']
FuTiynEpLpE,80.0,90.0,['Bark']
Fw09tDLa-78,0.0,10.0,['Bark']
FwoJ69JvYjo,310.0,320.0,['Cheering']
G0uFERXjyWg,0.0,10.0,['Fireworks']
G7vXKtePlGM,10.0,20.0,['Bark']
GD5hb0f8-3I,110.0,120.0,['Camera']
GIFaOp1XGs8,30.0,40.0,['Cheering']
GLb9zvhNSXE,70.0,80.0,['Camera']
GZUC9TF1kik,70.0,80.0,['Bark']
Ga_0YqOBcew,150.0,160.0,['Bark']
GamZltmhYuc,60.0,70.0,['Bark']
GbD3F5S_4cQ,160.0,170.0,['Cough']
Gh8pcu-QU78,40.0,50.0,['Fireworks']
Glc6Ekc67OE,30.0,40.0,['Bark']
GqLIHSRnM3E,170.0,180.0,['Church_bell']
Gt8JY-8RDm0,30.0,40.0,['Meow']
Gz8RlHf3Czs,30.0,40.0,['Scratching_(performance technique)']
HCyAntr4p_g,30.0,40.0,['Burping_and_eructation']
HENNy41BwOM,120.0,130.0,['Shout']
HEh1a-W7rrk,160.0,170.0,['Burping_and_eructation']
HH3ryAEP308,30.0,40.0,['Scratching_(performance technique)']
HHFnMqzW54k,30.0,40.0,['Fireworks']
HJFlxLJSX8E,30.0,40.0,['Meow']
HL-SGox-Ez0,30.0,40.0,['Church_bell']
HQfnea5gn-I,30.0,40.0,['Fireworks']
HXxJ7Siqlrg,70.0,80.0,['Shout']
Hohf6LqRCvg,110.0,120.0,['Shout']
HpWM0fc809Q,370.0,380.0,['Bark']
HqS5gBt59TY,10.0,20.0,['Shout']
I2FnnsvMj6Y,280.0,290.0,['Camera']
I9nCiUYreVc,150.0,160.0,['Cheering']
IE2WC1tNsEE,160.0,170.0,['Shatter']
II1qAXeqvIQ,290.0,300.0,['Camera']
II4UebN1Dxw,10.0,20.0,['Shatter']
IMDBu-_mRks,30.0,40.0,['Meow']
IN6FFTlq_8c,50.0,60.0,['Cough']
IYhY5YQrvLs,0.0,4.0,['Burping_and_eructation']
Ic3q9Wg5bGA,140.0,150.0,['Shatter']
IclkG1Ux8to,30.0,40.0,['Shatter']
IhDfxIBqaLA,230.0,240.0,['Shout']
IqXmQwHAzt8,0.0,10.0,['Doorbell']
IusuWEAoIoY,30.0,40.0,['Church_bell']
IxADrhzIXjo,70.0,80.0,['Shout']
J061zprgVR4,10.0,20.0,['Shout']
J0t4VMnXDNM,0.0,10.0,['Scratching_(performance technique)']
J6_hvIunXnU,0.0,10.0,['Cough']
JHIfkGns06o,150.0,160.0,['Church_bell']
JL76D1HWv-U,550.0,560.0,['Doorbell']
JL8Nd1_O_8w,410.0,420.0,['Camera']
JPatstz0zt0,450.0,460.0,['Burping_and_eructation']
JQPzkgrCbe8,0.0,10.0,['Camera']
JUoXv2kep_0,300.0,310.0,['Shout']
Jl6PuLEhxN8,110.0,120.0,['Fireworks']
Jlv0rZ3-Fh8,0.0,6.0,['Burping_and_eructation']
JqRCZKXNXwY,30.0,40.0,['Meow']
JuaiNGsbGxE,30.0,40.0,['Church_bell']
JvSD_04TBR4,80.0,90.0,['Shout']
JvgYGGBGZpM,30.0,40.0,['Doorbell']
K6M2Q24k178,50.0,60.0,['Fireworks']
K7aRghC0kOs,0.0,4.0,['Camera']
K7k1tH72E4k,130.0,140.0,['Cough']
K9sMmkRbAFs,120.0,130.0,['Camera']
KER4kAIsiTc,190.0,200.0,['Scratching_(performance technique)']
KG6JGCHIaH0,520.0,530.0,['Shatter']
KHUfXqnsyQ8,30.0,40.0,['Church_bell']
KHapBfftSoE,70.0,80.0,['Church_bell']
KL0TWPmezrY,10.0,20.0,['Shout']
KVyTY6NAXL8,30.0,40.0,['Meow']
Ki7Xvd2_hxY,30.0,40.0,['Bark']
Kno1Qt815WI,160.0,170.0,['Shout']
Kojo5khAAS0,280.0,290.0,['Scratching_(performance technique)']
KqVPfLZaRpc,350.0,360.0,['Camera']
KrtiLKd4VCI,100.0,110.0,['Bark']
KsT1OSUHFUY,30.0,40.0,['Bark']
KuIoTPeISWI,40.0,50.0,['Camera']
KyjeM7J-Pz4,170.0,180.0,['Scratching_(performance technique)']
L5EscAyv4a4,40.0,50.0,['Cheering']
L9YtOeck3A0,0.0,10.0,['Shatter']
LEwXpKnJMaQ,440.0,450.0,['Doorbell']
LOLTshIl61E,50.0,60.0,['Cheering']
LOdVDIv1snY,70.0,80.0,['Burping_and_eructation']
LUZvCwRDK38,550.0,560.0,['Doorbell']
M0HQ3VWaJpg,0.0,10.0,['Doorbell']
M47-JuWnx6U,0.0,6.0,['Doorbell']
M6bs_l-76uw,60.0,70.0,['Cough']
MCI7MZYdwoo,30.0,40.0,['Church_bell']
MCUOvhqC4jE,120.0,130.0,['Camera']
MFD3YNy3mGc,490.0,500.0,['Burping_and_eructation']
MVBQrBAXgw4,370.0,380.0,['Shatter']
MWJZVSUJHVE,0.0,10.0,['Church_bell']
MXdVnDVjSL8,30.0,40.0,['Scratching_(performance technique)']
Maul1ExUbfk,20.0,30.0,['Cough']
Me5oFWrV6cg,20.0,30.0,['Burping_and_eructation']
Mk23vQxKr6U,140.0,150.0,['Church_bell']
Mmke73EQZ08,20.0,30.0,['Bark']
Mnx3LMxvu50,200.0,210.0,['Scratching_(performance technique)']
MoXvWqQ2v38,300.0,310.0,"['Cough', 'Burping_and_eructation']"
MqUQb9pYHyw,0.0,10.0,['Shatter']
MuvuZhHeM3s,490.0,500.0,['Fireworks']
N0e03A5ilrY,140.0,150.0,['Burping_and_eructation']
NPDedSeMXTw,14.0,24.0,['Cheering']
NSS9_2FFVeo,40.0,50.0,['Scratching_(performance technique)']
NVWrbSKssSM,100.0,110.0,['Camera']
Nihn9j68pBE,10.0,20.0,['Cough']
Nq1BixVOd9s,510.0,520.0,['Fireworks']
NuMp4zOZEbY,10.0,20.0,['Bark']
NvlCImgdDVo,80.0,90.0,['Burping_and_eructation']
O5_wAnnhRMk,460.0,470.0,['Doorbell']
OA24pdxG9R4,30.0,40.0,['Doorbell']
OGPYXJyxQ24,110.0,120.0,['Cheering']
O_3h32Hetwc,130.0,140.0,['Cheering']
ObQH8sSi4K8,30.0,40.0,['Church_bell']
ObbEE5JoDJE,30.0,40.0,['Cough']
OvVWnTSAoNE,30.0,40.0,['Camera']
P1Qaz2cxuP4,200.0,210.0,['Camera']
P4BY72zK-aM,70.0,80.0,['Shatter']
P4Vp5cMKjL0,70.0,80.0,['Cough']
P8tx5STCuws,120.0,130.0,['Bark']
PCRY7zF-Oyg,120.0,130.0,['Cough']
PG1xWRrwUkE,210.0,220.0,['Shatter']
PL_h062rB3A,30.0,40.0,['Fireworks']
POZdRIMLlXc,23.0,33.0,['Cheering']
PPp4DcCy5v8,500.0,510.0,['Shatter']
PQ1NJa6U_Mc,120.0,130.0,['Cough']
PQmDM4qhdoo,190.0,200.0,['Shatter']
PUBw0WAMgsM,50.0,60.0,['Camera']
PYInIuSP2Qg,10.0,20.0,['Shatter']
PYpH_0Dhn5w,120.0,130.0,['Church_bell']
P_dXuddk3fE,90.0,100.0,['Bark']
P_oXjPQfHpM,250.0,260.0,['Fireworks']
P_tkRYMJK_M,80.0,90.0,['Bark']
PvGpTY3C9bs,480.0,490.0,['Doorbell']
Q-lc8hZqEVA,60.0,70.0,['Burping_and_eructation']
QHWuQj95SYw,270.0,280.0,['Bark']
QQouRzOM9BM,20.0,30.0,['Cough']
Qg7U2fFyFVI,0.0,10.0,['Burping_and_eructation']
Qs85meuYTMU,0.0,10.0,['Burping_and_eructation']
Qt1aCUq51ns,30.0,40.0,['Meow']
R-rS1jnK9Wc,150.0,160.0,['Bark']
R0AJ_4W0f8k,0.0,10.0,['Cough']
R0ws0tATJLg,0.0,10.0,['Church_bell']
RB9xMnuB59A,0.0,10.0,['Bark']
RHr4P9R3bfs,40.0,50.0,['Camera']
Rbvd_O2_Kbo,10.0,20.0,['Camera']
Rnd7f2AGGuI,30.0,40.0,['Meow']
RyPTSL-Zb3c,120.0,130.0,"['Cheering', 'Fireworks']"
SAiPzab5xVc,110.0,120.0,['Camera']
SJ7BOzbRLHA,6.0,16.0,['Church_bell']
SJI1-C3Cx1o,0.0,10.0,['Shatter']
SQei2xJFNpk,310.0,320.0,['Cough']
SVsz5CKZaUQ,160.0,170.0,['Shatter']
Sk8kMm7I-J8,50.0,60.0,['Fireworks']
SrzabTzuLWg,20.0,30.0,['Doorbell']
SxZXYlCkLt0,10.0,20.0,['Cheering']
T8NpPX6sWqs,350.0,360.0,['Camera']
T9SfXoYuvpo,40.0,50.0,['Cheering']
TDBqWGhnoLM,10.0,20.0,['Bark']
TKtNAJa-mbQ,11.0,21.0,['Meow']
TVzwdVlBY0s,120.0,130.0,['Camera']
TZGDukKAVS8,240.0,250.0,['Scratching_(performance technique)']
Tfg9HjhpVlY,100.0,110.0,['Burping_and_eructation']
TgZF6KBiBcQ,300.0,310.0,['Church_bell']
Th3mJWxUQ0w,90.0,100.0,['Shout']
U3kMEKCTwuE,40.0,50.0,['Doorbell']
U5WDJVVrRMM,0.0,7.0,['Burping_and_eructation']
U8-jaLo_OO4,70.0,80.0,['Shatter']
UDTsCTLkZzc,90.0,100.0,['Scratching_(performance technique)']
UEIkniwKKe0,410.0,420.0,['Fireworks']
UV90mG6wLBA,420.0,430.0,['Cheering']
UZYDN3DBkAk,110.0,120.0,['Cheering']
UZa8hjP92GM,20.0,30.0,['Cough']
Ufw0P-xOrng,160.0,170.0,['Fireworks']
UnD2YY2XHno,30.0,40.0,['Meow']
UvvbfkvbHDM,0.0,10.0,['Shout']
VA20N0XZgKs,10.0,20.0,['Fireworks']
VFxUtvYFRJg,30.0,40.0,['Meow']
VG7oB4EEUoY,10.0,20.0,['Doorbell']
VGUn3tueVLE,400.0,410.0,['Cough']
VGpqLyx96Z8,20.0,30.0,"['Doorbell', 'Bark']"
VP5mRLJtOEM,30.0,40.0,['Meow']
VSvRlhu1rb4,30.0,40.0,['Meow']
VUpMaG2xKUw,30.0,40.0,['Meow']
Vbx6TFxSPYY,70.0,80.0,['Doorbell']
VcsiwzBrnzY,0.0,10.0,['Church_bell']
VcvhpbcK4lo,100.0,110.0,['Scratching_(performance technique)']
VdaTqi6O4d0,10.0,20.0,['Cough']
Vg0FYW5Qpzk,100.0,110.0,['Shatter']
Vg_y3i_rdnk,20.0,30.0,['Church_bell']
VrqgvzDAa8k,40.0,50.0,['Burping_and_eructation']
VtbNaMkjDXU,190.0,200.0,['Scratching_(performance technique)']
VttMBDi4k3E,30.0,40.0,['Church_bell']
W3DwueAy65k,130.0,140.0,['Scratching_(performance technique)']
W4qY8rqeTTA,13.0,23.0,['Burping_and_eructation']
W65c_uSH4mg,200.0,210.0,['Shatter']
W7qiSqCQmGI,130.0,140.0,['Camera']
WDZdy6TtcYI,0.0,10.0,['Fireworks']
WMObZJPsnkE,20.0,30.0,['Burping_and_eructation']
WT2iyJmKkc8,120.0,130.0,['Scratching_(performance technique)']
WhqTqqzGRng,10.0,20.0,['Cheering']
WiAFUo2nxIk,30.0,40.0,['Scratching_(performance technique)']
WkU6zXSeKH8,30.0,40.0,['Bark']
Wre8DkaPhyA,110.0,120.0,['Cheering']
WtV5ird3gPM,270.0,280.0,['Cheering']
WyqyK87HomE,70.0,80.0,['Bark']
XE9GjWthDAA,490.0,500.0,['Burping_and_eructation']
XHczpbtBhk4,0.0,10.0,['Shout']
XHimm5QTqBE,0.0,10.0,['Church_bell']
XNJhMEOpYdE,30.0,40.0,['Meow']
XSB9zHU21Hg,150.0,160.0,['Camera']
XXGQb0FSuHQ,60.0,70.0,['Fireworks']
XXNuAH_jZ_8,390.0,400.0,['Camera']
XoDbqos7Cww,20.0,30.0,['Shout']
Y1l6PScgwmM,20.0,30.0,['Church_bell']
Y93yBzxqtJ0,110.0,120.0,['Camera']
YCy_jDZJy3Y,230.0,240.0,['Bark']
YIxvfaehMpk,70.0,80.0,['Fireworks']
YJKZVSvz1Bk,100.0,110.0,['Scratching_(performance technique)']
YMqY9e4ZXB4,10.0,20.0,['Cheering']
YNvlbMtntto,300.0,310.0,['Camera']
YTP7YMaEm1s,20.0,30.0,['Cough']
YZsH4WvIkxE,40.0,50.0,['Doorbell']
Yamxf-UkucM,21.0,31.0,['Meow']
YcI57jUphwc,30.0,40.0,['Fireworks']
YdnIPrnQI20,210.0,220.0,['Fireworks']
YnBpwFgMWCU,480.0,490.0,['Fireworks']
YuXLcvugIPA,380.0,390.0,['Fireworks']
ZBzNxwQk9XE,0.0,10.0,['Cough']
ZFG9jHrLtBE,70.0,80.0,['Scratching_(performance technique)']
ZK0nR3j1pAY,0.0,10.0,['Cough']
ZLZiPLEJ5D0,20.0,30.0,['Burping_and_eructation']
ZMFF8qfgwW0,250.0,260.0,['Shatter']
ZMiF2c7AMj4,30.0,40.0,['Doorbell']
ZNUTbWD5ddE,30.0,40.0,['Bark']
ZNlciK_2qCA,120.0,130.0,['Scratching_(performance technique)']
ZXUL9cJ8OuU,60.0,70.0,['Burping_and_eructation']
ZgaGheLPXys,230.0,240.0,['Fireworks']
Zl5vwBuTQyw,40.0,50.0,['Burping_and_eructation']
ZnBvXFDWpWo,50.0,60.0,['Scratching_(performance technique)']
Zno9K9Rvlio,260.0,270.0,['Cheering']
ZvKn6e1AZCU,0.0,8.0,['Cough']
Zy2LsyinGcY,10.0,20.0,['Bark']
_7BYvjIXZBI,80.0,90.0,['Shout']
_AjXY9cHCxA,150.0,160.0,['Cough']
_G3lYKAITu8,490.0,500.0,['Church_bell']
_GQnXfIGNKY,150.0,160.0,['Scratching_(performance technique)']
_JTHtcRHxnw,300.0,310.0,['Church_bell']
_PoDrQC5qAo,50.0,60.0,['Doorbell']
_WD9mbwAcrQ,130.0,140.0,['Shout']
_WLSxaduG4Q,30.0,40.0,['Meow']
_dH7f7PZkGg,220.0,230.0,['Shout']
_j4Sv4TauOM,60.0,70.0,['Cheering']
a701SAZyJF4,40.0,50.0,['Shout']
aAJuPyUvHn8,20.0,30.0,['Cough']
aSNvKefxs4c,60.0,70.0,['Bark']
aTu2S04Zizo,180.0,190.0,['Doorbell']
ab8V7MYQVyg,190.0,200.0,['Shout']
ab9jVHTUQsQ,19.0,29.0,['Meow']
alSAxo29qms,0.0,10.0,['Fireworks']
ammKLbpCiwU,10.0,20.0,['Church_bell']
ao9oox4OiGU,10.0,20.0,['Cough']
avuoh1lRAKg,140.0,150.0,['Burping_and_eructation']
b24uboHG_GE,0.0,10.0,['Cough']
b4bIubTJPdM,90.0,100.0,['Church_bell']
bAl-i0g7rUM,0.0,8.0,['Shatter']
bCCIvZNNbBM,20.0,30.0,['Burping_and_eructation']
bCOmV_G0pkk,100.0,110.0,['Cough']
bGlLn8qhlKY,60.0,70.0,['Burping_and_eructation']
bJhBfS6KAOo,20.0,30.0,['Camera']
bTC22WA2gJk,80.0,90.0,['Shout']
bYzFyPg9h9o,350.0,360.0,['Camera']
bk4X86Si6Zw,120.0,130.0,['Doorbell']
bpYciusD_Bo,10.0,20.0,['Shout']
bpjMpKxsBAs,490.0,500.0,['Church_bell']
c-f2RSZ_LxU,490.0,500.0,['Church_bell']
c4MUgtiDtDY,30.0,40.0,['Cough']
cJNFh1Dfy4I,200.0,210.0,['Scratching_(performance technique)']
cYdq2fjRhcg,10.0,20.0,['Cheering']
cZGY4Duhuvw,70.0,80.0,['Burping_and_eructation']
cenfXDHmino,100.0,110.0,['Shatter']
clJZQsQzGCA,490.0,500.0,['Church_bell']
